"The payment has been canceled","The payment has been canceled"
"Please","Please"
"continue shopping.","continue shopping."
"Error occured","Error occured"
"You are being redirected to the payment form. Please wait a few seconds.","You are being redirected to the payment form. Please wait a few seconds."
"Your payment has been successfully processed by our shop system.","Your payment has been successfully processed by our shop system."
"here","here"
"Please click %s if you are not redirected automatically.","Please click %s if you are not redirected automatically."
"Please wait, your order is being created ...","Please wait, your order is being created ..."
"Your credit card will be saved for this subscription.","Your credit card will be saved for this subscription."
"I want to use this credit card for my future orders in this shop.","I want to use this credit card for my future orders in this shop."
"Edit payment cards list (X-Payments)","Edit payment cards list (X-Payments)"
"Card id #","Card id #"
"Card number","Card number"
"Card type","Card type"
"Usage card type","Usage card type"
"You have no saved credit cards yet.","You have no saved credit cards yet."
"Back","Back"
"I want to save a credit card for my future orders in this shop","I want to save a credit card for my future orders in this shop"
"Your credit card will be saved for this subscription.","Your credit card will be saved for this subscription."
"You will be redirected to X-Payments website when you place an order.","You will be redirected to X-Payments website when you place an order."
"X-Payments Transaction ID: %s","X-Payments Transaction ID: %s"
"For current order we used your payment card %s","For current order we used your payment card %s"
"%s******%s","%s******%s"
" ( %s/%s )"," ( %s/%s )"
"For current order we charged funds from your payment card (**%s)","For current order we charged funds from your payment card (**%s)"
"Balance:","Balance:"
"Transaction list for order %s","Transaction list for order %s"
"Additional info","Additional info"
"Date, time","Date, time"
"Type","Type"
"Result payment status","Result payment status"
"Transaction result","Transaction result"
"Total","Total"
"Order(s) state","Order(s) state"
"Actions","Actions"
"Amount","Amount"
"Authorized","Authorized"
"Captured","Captured"
"Refunds","Refunds"
"Failed to meet environment requirements","Failed to meet environment requirements"
"Configuration problems:","Configuration problems:"
"Test module","Test module"
"To test the module settings and connection with X-Payments click the button below. If the module is configured properly, a 'Test transaction completed successfully' message will be displayed at the top of the page.","To test the module settings and connection with X-Payments click the button below. If the module is configured properly, a 'Test transaction completed successfully' message will be displayed at the top of the page."
"Import payment methods","Import payment methods"
"To be able to use X-Payments payment methods you need to import them from X-Payments first.","To be able to use X-Payments payment methods you need to import them from X-Payments first."
"The list of payment configurations imported from X-Payments","The list of payment configurations imported from X-Payments"
"Payment method","Payment method"
"Payment method ID","Payment method ID"
"Auth","Auth"
"Yes","Yes"
"Warning! Importing payment configurations from X-Payments will disable the X-Payments connector payment method!","Warning! Importing payment configurations from X-Payments will disable the X-Payments connector payment method!"
"Import payment methods from X-Payments","Import payment methods from X-Payments"
"Clear","Clear"
"Payment cards","Payment cards"
"X-Payment Order State","X-Payment Order State"
"This order has been broken. Parameter 'xpayments transaction id' is not available.","This order has been broken. Parameter 'xpayments transaction id' is not available."
